"ID","EMAIL_HASH","C","VALUE","CASE_STATUS"
3198528,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3198533,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3198540,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3198548,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3198574,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3198599,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3198617,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3198636,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3198664,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3198692,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3198715,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3198749,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3198779,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3198805,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3198836,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3198869,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3198898,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3198926,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3198959,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3198987,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3199010,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3199023,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3199044,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3199073,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3199108,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
3199119,"029kKF4Gx2Z2fmyD57iOgg==",1009,"Closed","Updated"
