"ID","ID_1","EMAIL_HASH","C","VALUE","CASE_STATUS"
3189088,4187180,"+JAu0yZko6rkW8EJX1IUkg==",2,"Open","Updated"
3189088,4187184,"+JAu0yZko6rkW8EJX1IUkg==",2,"Open","Updated"
3148172,4188739,"+ViUjBZzhZrFJ/DgngA1CA==",4,"Open","Updated"
3148172,4188750,"+ViUjBZzhZrFJ/DgngA1CA==",4,"Open","Updated"
3148172,4188758,"+ViUjBZzhZrFJ/DgngA1CA==",4,"Open","Updated"
3148172,4188767,"+ViUjBZzhZrFJ/DgngA1CA==",4,"Open","Updated"
3195185,4189463,"+jo/wlT6lWRdNvQI2qeqBg==",2,"Closed","Updated"
3195185,4189478,"+jo/wlT6lWRdNvQI2qeqBg==",2,"Closed","Updated"
3159601,4189911,"+m6jsf9U7y7BZgLgiyUYrA==",2,"Open","Updated"
3159601,4189912,"+m6jsf9U7y7BZgLgiyUYrA==",2,"Open","Updated"
2646753,4184424,"/7q1VqXjEM+YzgOPW5GezA==",10,"Closed","Updated"
2646753,4184475,"/7q1VqXjEM+YzgOPW5GezA==",10,"Closed","Updated"
2646753,4185865,"/7q1VqXjEM+YzgOPW5GezA==",10,"Closed","Updated"
2646753,4186063,"/7q1VqXjEM+YzgOPW5GezA==",10,"Closed","Updated"
2646753,4186072,"/7q1VqXjEM+YzgOPW5GezA==",10,"Closed","Updated"
2646753,4186078,"/7q1VqXjEM+YzgOPW5GezA==",10,"Closed","Updated"
2646753,4186087,"/7q1VqXjEM+YzgOPW5GezA==",10,"Closed","Updated"
2646753,4186097,"/7q1VqXjEM+YzgOPW5GezA==",10,"Closed","Updated"
2646753,4186136,"/7q1VqXjEM+YzgOPW5GezA==",10,"Closed","Updated"
2646753,4186606,"/7q1VqXjEM+YzgOPW5GezA==",10,"Closed","Updated"
3175050,4184410,"/8KK1H9eqnzT+cheKD/c6w==",2,"Open","Updated"
3175050,4184482,"/8KK1H9eqnzT+cheKD/c6w==",2,"Open","Updated"
3177458,4184216,"/9iLY8mWN5CMZ321PK7wzA==",3,"Open","Updated"
3177458,4184223,"/9iLY8mWN5CMZ321PK7wzA==",3,"Open","Updated"
3177458,4184228,"/9iLY8mWN5CMZ321PK7wzA==",3,"Open","Updated"
3194824,4189839,"/TqaXZjG2ge1ugqHdWwHoA==",6,"Closed","Updated"
3194824,4189848,"/TqaXZjG2ge1ugqHdWwHoA==",6,"Closed","Updated"
3194824,4189874,"/TqaXZjG2ge1ugqHdWwHoA==",6,"Closed","Updated"
3194824,4189895,"/TqaXZjG2ge1ugqHdWwHoA==",6,"Closed","Updated"
3194824,4189902,"/TqaXZjG2ge1ugqHdWwHoA==",6,"Closed","Updated"
3194824,4189910,"/TqaXZjG2ge1ugqHdWwHoA==",6,"Closed","Updated"
